Autor_in	Lebensdaten
Kuhn, Adalbert	(1812–1881) (1821–1899)
Geßner, Salomon	(1730–1788)
Marcel, Gabriel	(1843–1909)
Fouqué, Caroline de La Motte-	(1775–1831)
Wagner, Heinrich Leopold	(1747–1779)
Bräuner, Johann Jacob	(1647–1737)
Gottschalck, Kaspar Friedrich	(1772 – nach 1836)
Zinzendorf, Erdmuthe Dorothea von	(1700–1756)
Weisser, Friedrich Christoph	(1761–1836)
Thoma, Ludwig	(1867–1921)
Ball, Hugo	(1886–1927)
Hunold, Christian Friedrich	(1681–1721)
Wörishöffer, Sophie	(1838–1890)
Tirso, de Molina	(1571–1648)
Sealsfield, Charles	(1793–1864)
Möser, Justus	(1720–1794)
Storm, Theodor	(1817–1888)
Wolzogen, Karoline von	(1763–1847)
Wernicke, Christian	(1661–1725)
Chorier, Nicolas	(1612–1692)
Busch, Wilhelm	(1832–1908)
Gloger, Georg	(1603–1631)
Arent, Wilhelm	(1864–?)
Thümmel, Moritz August von	(1738–1817)
Suetonius Tranquillus, Gaius	(um 70 n. Chr. – 140)
Bernhardi, Sophie	(1775–1833)
Nestroy, Johann	(1801–1862)
Niebergall, Ernst Elias	(1815–1843)
Meier, Ernst Heinrich	(1813–1866)
Bostel, Lucas von	(1649–1716)
Schulze, Ernst	(1789–1817)
Stephanie, Gottlieb	(1741–1800)
Devrient, Eduard	(1801–1877)
Stockfleth, Katharina Maria	(1634–1692)
Naubert, Benedikte	(1756–1819)
Wilde, Oscar	(1854–1900)
Schottel, Justus Georg	(1612–1676)
Ovidius Naso, Publius	(20.3.43 v. Chr. – um 18 n. Chr.)
Fischart, Johann	(1546–1590)
Tiedge, Christoph August	(1752–1841)
Gryphius, Christian	(1649–1706)
Geibel, Emanuel	(1852–1815)
Stolberg-Stolberg, Christian zu	(1748–1821)
Arndt, Ernst Moritz	(1769–1860)
Kaiser, Friedrich	(1814–1874)
Haugwitz, August Adolf von	(1647–1706)
Temme, Jodocus Donatus Hubertus	(1798–1881)
Kempner, Friederike	(1836–1901)
Schöppner, Alexander	(1820–1860)
Lautensack, Heinrich	(1881–1919)
Dostoevskij, Fëdor Michajlovič	(1821–1881)
Murer, Jos	(1530–1580)
Sorge, Reinhard Johannes	(1892–1916)
Anton Ulrich, Braunschweig-Lüneburg, Herzog	(1633–1714)
Hölmann, Christian	(1677–1744)
Voith, Valentin	(1487/88– nach 1558)
Tersteegen, Gerhard	(1697–1769)
Sommer, Emil	(1819–1846)
Müller, Friedrich	(1749–1825)
Dante, Alighieri	(1256–1321)
Schilling, Gustav	(1766–1839)
Schönthan, Franz von	(1849–1913) (1853–1905)
Körner, Theodor	(1791–1813)
Bodenstedt, Friedrich	(1819–1892)
Kretschmann, Karl Friedrich	(1738–1809)
Baggesen, Jens	(1764–1826)
Hoffmann von Fallersleben, August Heinrich	(1798–1874)
Schink, Johann Friedrich	(1755–1835)
Stahl, Karoline	(1776–1837)
Forster, Georg	(1754–1794)
Huber, Therese	(1764–1829)
Shelley, Percy Bysshe	(1792–1822)
Lucianus, Samosatensis	(um 120 – nach 180)
Argens, Jean-Baptiste de Boyer d'	(1704–1771)
Bechstein, Ludwig	(1801–1860)
Kurz, Joseph Felix von	(1717–1784)
Salustius, Hilarius	
Rollenhagen, Georg	(1542–1609)
Prévost d'Exilles, Antoine François	(1697–1763)
Rubiner, Ludwig	(1881–1920)
Wieland, Christoph Martin	(1733–1813)
Lortzing, Albert	(1801–1851)
Lichtenberg, Georg Christoph	(1742–1799)
Hönn, Georg Paul	(1662–1747)
Gogolʹ, Nikolaj Vasilʹevič	(1809–1852)
Bürger, Gottfried August	(1747–1794)
Dulk, Albert Friedrich Benno	(1819–1884)
Felder, Franz Michael	(1839–1869)
