wort,hitler,trump,biden,bush,obama
certain,239,133,30,20,39
certainly,55,45,2,2,13
chain,6,50,50,1,2
chair,5,47,20,2,3
chairman,21,39,24,14,5
chamber,10,3,16,19,35
champion,42,40,7,1,2
chance,38,117,71,30,106
change,79,151,164,57,240
changed,19,69,31,16,24
changing,9,26,29,9,11
chaos,6,26,8,18,4
chapter,4,2,3,5,13
character,143,5,8,36,24
charge,12,183,20,10,16
charged,2,34,2,6,11
cheaper,1,13,8,1,6
check,7,84,27,9,24
cherished,4,10,2,2,3
chief,41,31,28,15,13
child,63,329,361,196,269
china,1,1048,65,12,34
choice,10,180,36,58,77
choose,10,4,22,28,60
chose,10,4,3,4,6
chosen,35,1,2,9,6
christian,21,40,3,2,17
christmas,1,44,18,3,2
church,36,32,11,9,29
circle,95,27,2,1,3
circumstance,57,13,46,9,14
citizen,67,186,42,165,135
citizenship,11,25,3,14,23
city,77,408,55,55,41
civic,11,5,1,6,3
civil,33,40,46,8,44
civilian,3,10,28,21,35
claim,26,13,19,10,25
class,165,80,95,12,81
clean,1,81,76,13,72
clear,83,45,116,59,100
cleared,4,2,2,4,1
clearly,58,4,16,7,8
climate,6,31,171,3,35
climb,2,12,2,2,7
close,27,250,74,7,39
closed,4,60,13,2,14
closely,7,20,23,12,4
closer,10,20,19,7,9
closing,1,20,11,2,5
coal,5,30,19,3,9
coalition,25,10,7,50,23
coast,2,26,16,29,14
code,6,7,25,10,29
cold,9,55,13,8,17
collapse,69,13,4,8,5
colleague,3,3,31,1,10
collect,5,3,4,2,3
collective,2,1,19,1,13
college,4,44,60,19,145
combat,12,8,12,14,35
combined,13,16,28,3,4
come,186,1125,263,136,280
coming,27,707,86,52,58
command,16,3,5,5,2
commander,3,11,27,21,4
commerce,11,1,9,3,18
commission,2,8,14,4,16
commit,5,9,11,7,12
committed,19,22,28,15,23
committee,37,73,24,6,10
committing,1,5,8,2,2
common,109,88,13,25,97
communication,3,2,11,8,2
communist,9,134,1,1,1
community,109,92,180,57,176
company,19,188,94,27,191
compare,11,12,1,2,1
compared,20,53,5,2,5
compete,5,11,34,12,28
competent,10,10,1,1,3
competition,5,19,31,6,30
competitive,1,5,22,13,18
competitor,3,7,10,1,6
complacent,1,2,3,1,2
complete,42,49,12,10,20
completed,11,26,2,1,5
completely,56,52,12,3,3
complex,2,14,5,6,9
comprehensive,8,6,6,26,30
concentrated,16,2,1,1,3
concern,22,4,27,8,33
concerned,42,25,8,11,7
conclude,4,2,5,2,2
concluded,7,2,5,5,1
conclusion,29,34,3,5,3
condemn,4,7,2,2,3
condition,173,42,27,16,32
conduct,53,5,5,12,8
conducted,16,8,1,3,3
conducting,6,3,3,4,2
conference,3,15,9,4,8
confidence,28,38,15,27,40
confident,3,17,16,21,22
confirm,7,6,1,1,3
confirmed,8,9,16,3,3
conflict,62,9,29,25,55
confront,1,6,10,33,17
confronted,11,3,1,7,5
congratulation,1,51,5,1,3
congress,3,237,90,183,213
conscience,18,3,2,19,7
consensus,1,2,18,1,13
consequence,88,8,33,21,21
conservative,8,121,3,7,4
consider,56,43,5,13,26
considered,99,39,4,4,5
conspiracy,4,5,2,2,1
constant,18,3,14,2,17
constantly,28,7,5,2,3
constitution,25,80,18,15,15
constitutional,9,23,3,6,7
construction,5,19,6,2,22
constructive,14,1,3,1,7
consumer,1,4,23,9,25
contact,21,1,20,1,1
contained,5,1,3,2,3
content,27,19,2,2,2
contest,3,16,2,3,6
context,1,1,3,2,7
continent,18,20,2,11,11
continue,49,95,162,91,106
continued,25,8,18,8,14
continues,2,12,18,13,15
continuing,3,9,29,8,7
contract,3,5,4,2,3
contrary,68,2,1,2,6
contrast,15,13,1,1,2
contribute,9,1,4,7,9
contributed,11,1,1,1,4
contribution,9,7,10,12,7
control,40,126,30,32,38
conversation,1,42,23,1,20
conviction,71,7,4,15,16
convince,6,9,5,3,5
convinced,46,4,12,1,13
cool,4,13,1,1,3
cooperation,7,2,24,12,23
coordinate,1,2,4,3,2
core,1,7,11,2,20
corner,6,30,8,5,16
corp,5,5,13,22,6
corporate,2,5,21,5,17
corporation,2,6,65,3,19
correct,26,41,5,6,1
corrupt,8,358,3,1,3
corruption,9,53,11,6,14
cost,23,150,216,44,155
costly,1,5,1,1,14
could,560,944,158,90,172
council,10,6,16,39,9
count,18,46,14,2,7
counted,6,49,7,2,2
counter,6,9,4,3,3
counterpart,4,1,3,3,4
counting,3,32,10,1,3
country,168,3670,516,319,515
couple,7,192,31,5,29
courage,57,77,35,46,57
courageous,11,11,5,5,1
course,207,122,26,41,70
court,20,273,60,14,40
cover,8,38,27,5,15
covered,6,35,9,5,5
crack,2,13,2,1,3
crash,1,15,9,3,1
create,22,17,65,44,93
created,45,91,41,22,48
creating,7,18,34,16,23
creation,17,11,23,5,14
creator,15,1,5,4,5
credit,5,87,65,34,59
crew,2,6,9,1,2
crime,20,370,20,13,10
criminal,46,271,10,14,20
crisis,6,34,108,36,102
critic,3,3,2,9,5
critical,15,73,72,14,22
criticism,19,2,1,6,2
cross,4,10,16,14,10
crossed,1,27,1,3,6
crossing,4,15,2,11,6
crowd,22,188,7,2,5
crowded,3,13,6,1,2
cruel,4,8,4,1,1
cure,8,10,5,10,7
current,18,19,12,23,15
custom,10,3,1,7,2
cut,9,344,117,42,161
daily,50,5,5,8,14
damage,18,71,45,2,9
damaged,1,1,6,5,1
danger,79,60,12,63,28
dangerous,28,152,43,26,18
dare,11,2,5,1,1
dark,10,16,6,6,6
darkest,1,1,2,3,5
darkness,3,1,5,1,7
data,3,8,27,1,4
date,15,35,8,7,8
daughter,3,31,42,6,32
david,2,125,5,5,6
day,283,1041,332,142,215
de,4,12,1,2,5
dead,24,131,12,6,6
deadly,7,45,6,8,3
deal,45,724,143,20,47
dealing,26,60,38,6,10
dealt,24,22,10,2,7
dear,3,8,7,3,1
dearly,5,3,2,1,1
death,52,168,33,32,19
debate,7,110,19,26,102
debated,1,3,7,1,9
debt,3,59,79,10,62
decade,12,104,78,36,143
december,5,5,7,1,7
decency,4,1,10,6,10
decent,16,5,24,14,20
decide,27,20,9,3,12
decided,50,60,19,8,16
decimated,1,24,1,2,1
decision,78,127,56,62,66
decisive,26,1,9,11,5
declaration,6,2,21,5,6
declared,22,13,3,15,10
decline,27,40,7,6,11
declining,1,1,4,3,4
decrease,3,4,3,1,1
dedicated,2,2,6,5,4
deemed,5,1,1,1,1
deep,6,78,14,15,17
deeper,10,4,1,4,10
deepest,2,6,1,8,3
deeply,17,5,9,8,12
defeat,29,71,9,22,20
defeated,6,69,8,10,2
defend,48,169,39,51,30
defended,7,11,2,7,3
defending,14,32,15,5,4
define,2,8,5,5,14
defined,8,3,4,4,18
degree,63,23,32,1,20
delay,2,16,12,3,7
deliver,5,19,38,14,20
delivered,21,18,14,10,7
delivering,6,13,14,6,1
demand,66,18,14,41,35
demanded,17,4,1,3,2
demanding,2,13,2,4,7
democracy,69,118,148,101,126
democrat,22,854,62,11,94
democratic,47,6,45,41,57
denied,12,10,11,6,27
deny,12,4,12,14,18
department,13,111,81,39,13
depend,13,1,6,12,18
dependence,2,2,2,4,7
dependent,20,1,2,9,3
depending,2,6,6,1,2
depends,15,10,13,12,26
depression,3,34,6,7,22
depth,9,2,4,2,8
described,18,3,5,4,7
desert,6,12,1,4,5
deserve,6,38,18,24,49
deserves,7,6,8,7,15
design,9,2,4,8,9
designed,5,10,17,6,17
desire,29,2,3,12,9
despair,10,2,4,10,7
despite,21,74,19,5,24
destiny,39,5,1,6,23
destroy,26,145,4,11,8
destroyed,22,137,6,18,5
destroying,9,119,4,3,1
destruction,47,84,19,47,13
destructive,15,14,2,6,4
detail,17,14,22,3,10
detailed,5,5,5,3,1
determination,45,5,7,11,20
determine,8,16,21,8,14
determined,55,13,26,25,23
devastating,7,30,21,3,3
develop,26,6,11,27,22
developed,54,12,10,5,7
developing,16,11,22,22,13
development,130,25,27,18,37
devotion,14,13,6,1,1
dictate,8,2,2,3,5
dictator,2,43,4,18,12
die,21,62,17,6,3
died,9,63,22,9,15
difference,34,113,32,22,77
different,107,318,75,51,87
differently,4,27,4,6,10
difficult,87,33,38,41,57
difficulty,25,7,3,2,4
dignity,17,33,69,42,64
diplomacy,6,1,14,15,28
diplomatic,4,1,4,6,8
direct,24,21,17,9,15
directed,43,6,6,11,4
directing,5,2,6,2,3
direction,32,20,19,11,8
directly,11,8,19,9,11
director,5,11,14,10,4
disadvantage,3,4,3,1,4
disappointed,1,15,2,6,1
disappointment,2,1,2,9,2
disaster,21,216,43,17,12
discipline,20,1,2,3,6
discrimination,2,7,8,1,14
discus,9,22,15,13,10
discussed,10,12,10,1,2
discussing,3,5,3,6,3
discussion,34,20,11,6,15
disease,36,16,27,36,21
dismissed,1,2,1,1,2
display,9,4,2,1,2
disposal,17,5,4,1,1
dispute,12,7,1,1,10
disrupt,1,1,4,7,7
disruption,7,1,12,6,7
distance,6,6,3,4,12
distant,6,15,2,6,7
distinction,13,2,5,3,4
distinguished,4,3,10,14,8
district,27,56,28,7,15
divided,6,4,5,2,9
dividing,1,2,2,1,1
division,20,9,8,11,22
doctor,3,123,37,25,34
document,6,89,15,5,8
domestic,11,21,16,8,8
dominate,12,3,5,7,1
done,89,1107,281,55,150
door,12,37,14,5,31
dose,1,1,10,2,1
double,2,35,14,12,12
doubled,1,14,3,7,11
doubt,25,31,12,12,33
dozen,7,7,9,9,5
dr,12,36,38,5,20
draft,1,1,1,3,1
dramatic,2,3,6,9,1
drastically,1,10,2,1,1
draw,24,6,6,5,19
drawing,10,9,1,4,5
drawn,13,1,1,5,10
dream,16,79,12,24,85
drill,3,96,1,1,2
drive,9,67,30,9,25
driven,13,6,3,3,7
driver,1,4,19,3,3
driving,8,32,13,2,11
drop,9,56,19,1,8
dropped,3,32,9,5,5
drove,5,13,3,2,8
drug,1,419,89,69,17
dust,2,7,1,1,2
duty,124,17,24,48,12
dying,4,60,20,8,6
dynamic,2,1,11,4,7
ear,12,7,8,2,2
earlier,11,41,39,4,17
early,44,105,47,17,19
earn,10,4,8,6,28
earned,2,11,12,7,25
earth,60,30,6,16,63
ease,7,3,19,4,3
easier,23,34,24,9,30
easily,66,73,4,2,5
east,10,99,23,94,38
eastern,11,6,7,6,6
easy,21,182,17,16,43
eat,3,7,3,2,2
economic,169,88,140,79,115
economics,9,3,20,1,9
economy,6,252,308,121,337
educated,13,2,21,4,6
educating,3,1,2,1,4
education,92,71,88,36,151
educational,26,12,6,1,3
edward,2,3,6,1,1
effect,128,16,19,5,17
effective,36,21,18,29,12
effectively,13,13,3,9,5
efficiency,22,4,3,1,7
effort,108,50,109,103,155
egg,2,4,1,5,2
egyptian,1,1,2,3,2
eight,18,107,28,14,21
either,54,103,29,6,22
elderly,1,15,8,4,4
elected,7,92,40,16,35
election,19,1539,64,43,64
electoral,3,5,2,1,1
electric,1,165,71,6,6
element,140,21,13,11,9
elementary,8,2,2,1,5
eliminate,5,19,9,10,18
eliminated,10,22,1,1,5
eliminating,6,4,3,5,5
else,46,279,54,2,44
elsewhere,17,7,4,4,5
embrace,8,6,9,3,25
emerge,4,2,4,7,7
emerged,8,3,7,2,7
emotional,8,3,3,3,2
empire,60,6,1,8,5
employ,14,1,3,3,2
employed,52,5,2,2,1
employee,17,14,31,16,19
employer,21,1,12,21,22
employment,11,7,16,1,6
empty,10,18,13,3,8
enable,20,2,5,2,2
encourage,3,4,10,28,29
encouraging,7,1,4,12,8
end,207,456,131,59,162
ended,7,207,18,16,12
ending,3,28,11,9,12
endless,10,39,2,2,14
endure,19,5,1,2,8
enduring,6,2,8,3,18
enemy,164,117,23,116,20
energy,52,496,102,46,181
enforce,4,9,1,6,9
enforcement,2,181,47,35,25
enforcing,2,3,3,2,2
engaged,13,9,14,10,3
engagement,2,2,10,1,18
engine,1,9,2,1,14
engineer,4,4,11,5,11
engineering,2,3,1,1,10
england,7,12,2,2,1
english,9,9,4,3,9
enjoy,7,14,1,3,9
enormous,30,2,29,3,20
enough,42,126,97,25,67
ensure,5,47,44,43,47
ensuring,4,7,6,2,8
enter,24,2,2,9,5
entered,21,9,1,4,3
entering,10,7,1,5,4
enterprise,18,5,6,15,11
entire,12,115,55,13,42
entirely,55,10,5,2,3
environment,5,30,16,10,7
envy,7,10,2,1,7
epidemic,3,2,4,1,5
equal,34,16,28,12,50
equality,12,2,16,2,17
equally,17,6,11,4,2
equip,2,1,4,1,7
equipment,8,155,9,9,10
equipped,2,9,2,2,1
equivalent,2,1,2,1,2
era,15,1,9,9,15
error,20,24,1,3,2
escape,7,3,7,5,6
especially,126,78,52,19,37
essential,62,4,24,30,20
essentially,11,38,6,1,5
establish,37,4,8,20,5
established,51,5,11,3,13
estimate,15,6,9,1,1
europe,73,106,27,23,28
european,30,16,13,8,7
even,470,1542,156,67,245
evening,26,88,4,17,5
event,47,59,24,13,16
eventually,23,16,6,9,11
ever,88,1659,181,24,89
every,270,929,394,238,405
everybody,25,573,90,3,101
everyone,23,234,106,11,61
everything,82,555,146,16,67
everywhere,19,22,34,12,12
evidence,20,70,23,15,14
evil,60,54,6,37,11
exactly,11,111,32,6,23
example,82,81,118,27,73
excellence,4,2,3,2,1
except,41,77,4,5,5
exceptional,5,6,2,3,6
excess,3,7,1,2,4
excuse,13,29,39,7,13
executive,5,64,26,12,21
exercise,27,3,5,3,8
exist,58,10,5,5,16
existence,238,1,6,2,3
existing,32,21,7,4,4
exists,36,2,6,2,6
exit,1,6,1,1,2
expand,2,13,24,19,31
expanded,2,2,9,10,8
expanding,1,3,17,16,12
expansion,15,3,4,5,9
expect,21,11,14,33,37
expectation,1,5,9,5,13
expected,12,22,7,5,6
expense,12,5,5,8,12
experience,71,29,15,16,41
experienced,9,7,9,6,2
experiment,8,2,2,4,5
expert,11,23,24,7,12
explain,21,48,10,6,5
explaining,2,7,2,1,2
exploit,16,1,2,1,2
export,1,10,4,6,19
expose,4,11,3,2,1
exposed,3,16,11,1,6
express,18,13,8,2,9
expressed,24,1,3,3,7
expression,43,19,16,1,11
extend,10,8,20,19,15
extended,8,4,13,2,9
extends,1,1,3,1,7
extraordinary,11,9,19,4,24
extreme,26,22,54,1,9
extremely,7,30,8,2,1
extremist,4,31,2,32,30
eye,86,62,26,6,33
f,8,13,2,1,5
face,84,65,68,55,101
faced,18,5,15,19,24
facility,3,7,26,10,6
facing,5,7,27,12,10
fact,329,319,178,23,114
factor,46,10,1,1,3
factory,17,75,10,4,32
fail,24,13,10,9,23
failed,50,70,21,21,16
failing,10,40,2,5,5
failure,48,20,7,20,26
fair,2,153,103,24,69
fairly,2,20,6,2,8
faith,74,51,34,36,80
faithful,12,1,3,5,2
fall,39,38,30,14,39
fallen,9,4,18,7,14
falling,10,33,12,2,8
false,32,39,5,4,15
familiar,9,6,2,4,2
family,17,392,422,96,332
far,130,439,72,37,52
farm,1,57,5,1,8
farmer,6,216,5,8,11
fascism,1,21,1,2,6
fast,3,133,28,5,14
faster,1,20,33,4,23
fate,82,6,3,7,8
father,38,112,34,9,37
fault,13,19,1,2,4
fear,46,19,18,40,67
feared,15,26,1,1,2
february,6,13,6,2,1
federal,28,169,169,94,42
feed,2,6,4,8,14
feel,73,75,40,17,65
feeling,124,40,16,2,15
fell,25,14,5,2,3
fellow,22,32,35,60,52
felt,82,42,12,14,21
fewer,2,14,24,12,21
