wort,hitler,trump
demolish,1,22
demonstrated,10,3
demonstrates,1,1
demonstrating,2,2
demonstration,27,3
den,2,6
denied,12,10
deny,12,4
department,13,111
depend,13,1
dependence,2,2
dependent,20,1
depending,2,6
depends,15,10
depraved,5,7
depravity,2,3
depressed,5,2
depressing,7,2
depression,3,34
depth,9,2
deputy,6,3
derogatory,2,1
descend,5,1
describe,9,8
described,18,3
describing,3,2
description,6,4
desert,6,12
deserve,6,38
deserved,7,2
deserves,7,6
design,9,2
designed,5,10
designer,1,2
designing,2,1
desire,29,2
desired,10,1
despair,10,2
desperate,5,28
despicable,10,1
despise,2,6
despised,3,1
despite,21,74
destiny,39,5
destroy,26,145
destroyed,22,137
destroying,9,119
destroys,8,4
destruction,47,84
destructive,15,14
detail,17,14
detailed,5,5
detect,2,1
detected,1,3
deter,1,3
determination,45,5
determine,8,16
determined,55,13
determining,7,1
deterrent,1,1
devastating,7,30
develop,26,6
developed,54,12
developing,16,11
development,130,25
device,1,2
devil,6,4
devised,1,2
devote,13,6
devoted,18,5
devotion,14,13
dial,1,1
dice,1,2
dictate,8,2
dictated,6,2
dictator,2,43
dictatorship,9,8
die,21,62
died,9,63
difference,34,113
different,107,318
differently,4,27
difficult,87,33
difficulty,25,7
dig,1,1
digging,1,1
dignitary,2,4
dignity,17,33
dilettante,1,2
diligence,4,3
diligently,1,2
diploma,4,20
diplomacy,6,1
diplomatic,4,1
dire,3,2
direct,24,21
directed,43,6
directing,5,2
direction,32,20
directive,1,1
directly,11,8
director,5,11
dirt,1,2
dirty,2,49
disadvantage,3,4
disappear,24,8
disappeared,11,6
disappointed,1,15
disappointment,2,1
disarming,4,1
disaster,21,216
disastrous,26,29
discard,4,1
discarded,3,2
disciple,3,2
discipline,20,1
disclose,2,2
disconcerting,2,1
discourse,2,1
discovered,25,13
discrepancy,3,11
discretion,4,4
discriminate,1,5
discrimination,2,7
discus,9,22
discussed,10,12
discussing,3,5
discussion,34,20
disease,36,16
disgrace,10,120
disgraced,1,4
disgraceful,6,18
disgust,4,2
disgusted,5,2
disgusting,2,11
dish,2,1
dishonest,1,65
dishonesty,1,5
disillusioned,1,3
disintegration,17,1
dismal,1,1
dismembered,4,1
dismembering,1,1
dismissed,1,2
disparage,1,4
disparaged,2,2
display,9,4
disposal,17,5
disposition,2,1
dispute,12,7
disputing,1,1
disregard,3,4
disrupt,1,1
disruption,7,1
dissipated,1,2
dissolve,4,5
distance,6,6
distant,6,15
distinction,13,2
distinguished,4,3
distract,4,4
distracting,1,1
distress,26,2
distribute,2,11
distributed,7,7
distributing,1,1
distribution,5,11
district,27,56
disturbed,3,4
disturbing,9,1
ditch,1,1
divide,5,8
divided,6,4
dividend,1,1
dividing,1,2
division,20,9
doctor,3,123
doctrine,77,2
document,6,89
documentary,2,9
dog,8,22
domestic,11,21
dominant,11,55
dominate,12,3
dominates,3,3
dominating,2,10
domination,15,1
dominion,3,31
donated,1,2
donation,1,4
done,89,1107
doomed,22,4
door,12,37
dope,2,1
dos,1,10
dose,1,1
double,2,35
doubled,1,14
doubt,25,31
dozen,7,7
dr,12,36
draconian,1,1
draft,1,1
drafted,1,1
drag,11,4
dragged,8,2
dragging,3,1
drained,1,2
dramatic,2,3
drastically,1,10
draw,24,6
drawback,8,1
drawing,10,9
drawn,13,1
dreadful,1,1
dream,16,79
dreamed,3,2
dreaming,2,1
dreamt,4,4
drenched,1,2
dress,1,7
dressed,3,5
drew,3,3
drill,3,96
drilled,6,1
drilling,2,34
drink,2,2
drive,9,67
driven,13,6
driver,1,4
driving,8,32
drone,1,7
drop,9,56
dropped,3,32
drove,5,13
drown,1,1
drug,1,419
drum,1,2
dry,1,9
due,54,8
dust,2,7
duty,124,17
dy,2,1
dying,4,60
dynamic,2,1
dynasty,9,1
e,1,14
eagle,1,3
ear,12,7
earlier,11,41
earliest,1,2
early,44,105
earn,10,4
earned,2,11
earth,60,30
ease,7,3
easier,23,34
easiest,3,10
easily,66,73
east,10,99
eastern,11,6
easy,21,182
eat,3,7
eating,4,5
economic,169,88
economically,3,10
economics,9,3
economy,6,252
editor,1,1
editorial,1,4
educate,9,2
educated,13,2
educating,3,1
education,92,71
educational,26,12
edward,2,3
effect,128,16
effected,6,1
effective,36,21
effectively,13,13
efficiency,22,4
effort,108,50
egg,2,4
egypt,4,1
egyptian,1,1
eight,18,107
eighteen,2,1
either,54,103
ejected,1,1
elderly,1,15
elect,3,37
elected,7,92
election,19,1539
elector,2,1
electoral,3,5
electric,1,165
elegant,1,5
element,140,21
elementary,8,2
eleventh,2,1
eligible,1,3
eliminate,5,19
eliminated,10,22
eliminating,6,4
elizabeth,1,12
eloquent,2,2
else,46,279
elsewhere,17,7
embarked,2,1
embarrassment,1,24
embodiment,3,1
embrace,8,6
embraced,2,2
emerge,4,2
emerged,8,3
emotion,4,3
emotional,8,3
emphasis,6,3
empire,60,6
