Wort,Trump,Hitler,Biden,Bush,Obama
democracy,118,69,148,101,126
democrat,854,22,62,11,94
democratic,6,47,45,41,57
denied,10,12,11,6,27
deny,4,12,12,14,18
department,111,13,81,39,13
depend,1,13,6,12,18
dependence,2,2,2,4,7
dependent,1,20,2,9,3
depending,6,2,6,1,2
depends,10,15,13,12,26
depression,34,3,6,7,22
depth,2,9,4,2,8
described,3,18,5,4,7
desert,12,6,1,4,5
deserve,38,6,18,24,49
deserves,6,7,8,7,15
design,2,9,4,8,9
designed,10,5,17,6,17
desire,2,29,3,12,9
despair,2,10,4,10,7
despite,74,21,19,5,24
destiny,5,39,1,6,23
destroy,145,26,4,11,8
destroyed,137,22,6,18,5
destroying,119,9,4,3,1
destruction,84,47,19,47,13
destructive,14,15,2,6,4
detail,14,17,22,3,10
detailed,5,5,5,3,1
determination,5,45,7,11,20
determine,16,8,21,8,14
determined,13,55,26,25,23
devastating,30,7,21,3,3
develop,6,26,11,27,22
developed,12,54,10,5,7
developing,11,16,22,22,13
development,25,130,27,18,37
devotion,13,14,6,1,1
dictate,2,8,2,3,5
dictator,43,2,4,18,12
die,62,21,17,6,3
died,63,9,22,9,15
difference,113,34,32,22,77
different,318,107,75,51,87
differently,27,4,4,6,10
difficult,33,87,38,41,57
difficulty,7,25,3,2,4
dignity,33,17,69,42,64
diplomacy,1,6,14,15,28
diplomatic,1,4,4,6,8
direct,21,24,17,9,15
directed,6,43,6,11,4
directing,2,5,6,2,3
direction,20,32,19,11,8
directly,8,11,19,9,11
director,11,5,14,10,4
disadvantage,4,3,3,1,4
disappointed,15,1,2,6,1
disappointment,1,2,2,9,2
disaster,216,21,43,17,12
discipline,1,20,2,3,6
discrimination,7,2,8,1,14
discus,22,9,15,13,10
discussed,12,10,10,1,2
discussing,5,3,3,6,3
discussion,20,34,11,6,15
disease,16,36,27,36,21
dismissed,2,1,1,1,2
display,4,9,2,1,2
disposal,5,17,4,1,1
dispute,7,12,1,1,10
disrupt,1,1,4,7,7
disruption,1,7,12,6,7
distance,6,6,3,4,12
distant,15,6,2,6,7
distinction,2,13,5,3,4
distinguished,3,4,10,14,8
district,56,27,28,7,15
divided,4,6,5,2,9
dividing,2,1,2,1,1
division,9,20,8,11,22
doctor,123,3,37,25,34
document,89,6,15,5,8
domestic,21,11,16,8,8
dominate,3,12,5,7,1
done,1107,89,281,55,150
door,37,12,14,5,31
dose,1,1,10,2,1
double,35,2,14,12,12
doubled,14,1,3,7,11
doubt,31,25,12,12,33
dozen,7,7,9,9,5
dr,36,12,38,5,20
draft,1,1,1,3,1
dramatic,3,2,6,9,1
drastically,10,1,2,1,1
draw,6,24,6,5,19
drawing,9,10,1,4,5
drawn,1,13,1,5,10
dream,79,16,12,24,85
drill,96,3,1,1,2
drive,67,9,30,9,25
driven,6,13,3,3,7
driver,4,1,19,3,3
driving,32,8,13,2,11
drop,56,9,19,1,8
dropped,32,3,9,5,5
drove,13,5,3,2,8
drug,419,1,89,69,17
dust,7,2,1,1,2
duty,17,124,24,48,12
dying,60,4,20,8,6
dynamic,1,2,11,4,7
ear,7,12,8,2,2
earlier,41,11,39,4,17
early,105,44,47,17,19
earn,4,10,8,6,28
earned,11,2,12,7,25
earth,30,60,6,16,63
ease,3,7,19,4,3
easier,34,23,24,9,30
easily,73,66,4,2,5
east,99,10,23,94,38
eastern,6,11,7,6,6
easy,182,21,17,16,43
eat,7,3,3,2,2
economic,88,169,140,79,115
economics,3,9,20,1,9
economy,252,6,308,121,337
educated,2,13,21,4,6
educating,1,3,2,1,4
education,71,92,88,36,151
educational,12,26,6,1,3
edward,3,2,6,1,1
effect,16,128,19,5,17
effective,21,36,18,29,12
effectively,13,13,3,9,5
efficiency,4,22,3,1,7
effort,50,108,109,103,155
egg,4,2,1,5,2
egyptian,1,1,2,3,2
eight,107,18,28,14,21
either,103,54,29,6,22
elderly,15,1,8,4,4
elected,92,7,40,16,35
election,1539,19,64,43,64
electoral,5,3,2,1,1
electric,165,1,71,6,6
element,21,140,13,11,9
elementary,2,8,2,1,5
eliminate,19,5,9,10,18
eliminated,22,10,1,1,5
eliminating,4,6,3,5,5
else,279,46,54,2,44
elsewhere,7,17,4,4,5
embrace,6,8,9,3,25
emerge,2,4,4,7,7
emerged,3,8,7,2,7
emotional,3,8,3,3,2
empire,6,60,1,8,5
employ,1,14,3,3,2
employed,5,52,2,2,1
employee,14,17,31,16,19
employer,1,21,12,21,22
employment,7,11,16,1,6
empty,18,10,13,3,8
enable,2,20,5,2,2
encourage,4,3,10,28,29
encouraging,1,7,4,12,8
end,456,207,131,59,162
ended,207,7,18,16,12
ending,28,3,11,9,12
endless,39,10,2,2,14
endure,5,19,1,2,8
enduring,2,6,8,3,18
enemy,117,164,23,116,20
energy,496,52,102,46,181
enforce,9,4,1,6,9
enforcement,181,2,47,35,25
enforcing,3,2,3,2,2
engaged,9,13,14,10,3
engagement,2,2,10,1,18
engine,9,1,2,1,14
engineer,4,4,11,5,11
engineering,3,2,1,1,10
england,12,7,2,2,1
english,9,9,4,3,9
enjoy,14,7,1,3,9
enormous,2,30,29,3,20
enough,126,42,97,25,67
ensure,47,5,44,43,47
ensuring,7,4,6,2,8
enter,2,24,2,9,5
entered,9,21,1,4,3
entering,7,10,1,5,4
enterprise,5,18,6,15,11
entire,115,12,55,13,42
entirely,10,55,5,2,3
environment,30,5,16,10,7
envy,10,7,2,1,7
epidemic,2,3,4,1,5
equal,16,34,28,12,50
equality,2,12,16,2,17
equally,6,17,11,4,2
equip,1,2,4,1,7
equipment,155,8,9,9,10
equipped,9,2,2,2,1
equivalent,1,2,2,1,2
era,1,15,9,9,15
error,24,20,1,3,2
escape,3,7,7,5,6
especially,78,126,52,19,37
essential,4,62,24,30,20
essentially,38,11,6,1,5
establish,4,37,8,20,5
established,5,51,11,3,13
estimate,6,15,9,1,1
europe,106,73,27,23,28
european,16,30,13,8,7
even,1542,470,156,67,245
evening,88,26,4,17,5
event,59,47,24,13,16
eventually,16,23,6,9,11
ever,1659,88,181,24,89
every,929,270,394,238,405
everybody,573,25,90,3,101
everyone,234,23,106,11,61
everything,555,82,146,16,67
everywhere,22,19,34,12,12
evidence,70,20,23,15,14
evil,54,60,6,37,11
exactly,111,11,32,6,23
example,81,82,118,27,73
excellence,2,4,3,2,1
except,77,41,4,5,5
exceptional,6,5,2,3,6
excess,7,3,1,2,4
excuse,29,13,39,7,13
executive,64,5,26,12,21
exercise,3,27,5,3,8
exist,10,58,5,5,16
existence,1,238,6,2,3
existing,21,32,7,4,4
exists,2,36,6,2,6
exit,6,1,1,1,2
expand,13,2,24,19,31
expanded,2,2,9,10,8
expanding,3,1,17,16,12
expansion,3,15,4,5,9
expect,11,21,14,33,37
expectation,5,1,9,5,13
expected,22,12,7,5,6
expense,5,12,5,8,12
experience,29,71,15,16,41
experienced,7,9,9,6,2
experiment,2,8,2,4,5
expert,23,11,24,7,12
explain,48,21,10,6,5
explaining,7,2,2,1,2
exploit,1,16,2,1,2
export,10,1,4,6,19
expose,11,4,3,2,1
exposed,16,3,11,1,6
express,13,18,8,2,9
expressed,1,24,3,3,7
expression,19,43,16,1,11
extend,8,10,20,19,15
extended,4,8,13,2,9
extends,1,1,3,1,7
extraordinary,9,11,19,4,24
extreme,22,26,54,1,9
extremely,30,7,8,2,1
extremist,31,4,2,32,30
eye,62,86,26,6,33
f,13,8,2,1,5
face,65,84,68,55,101
faced,5,18,15,19,24
facility,7,3,26,10,6
facing,7,5,27,12,10
fact,319,329,178,23,114
factor,10,46,1,1,3
factory,75,17,10,4,32
fail,13,24,10,9,23
failed,70,50,21,21,16
failing,40,10,2,5,5
failure,20,48,7,20,26
fair,153,2,103,24,69
fairly,20,2,6,2,8
faith,51,74,34,36,80
faithful,1,12,3,5,2
fall,38,39,30,14,39
fallen,4,9,18,7,14
falling,33,10,12,2,8
false,39,32,5,4,15
familiar,6,9,2,4,2
family,392,17,422,96,332
far,439,130,72,37,52
farm,57,1,5,1,8
