wort,hitler,bush
uncertainty,11,8
unchecked,3,1
uncomfortable,1,1
unconditionally,4,1
undeniable,1,3
undergoing,2,1
underlying,10,2
undermine,9,12
undermined,2,2
undermines,1,1
understand,93,36
understandable,2,2
understanding,49,4
understands,4,1
understood,50,3
undertake,11,2
undertaking,17,2
undignified,2,1
unemployment,4,5
unfair,2,6
unfinished,1,4
unfortunately,50,7
unified,1,4
uniform,26,21
uniformly,1,1
uninterrupted,1,3
union,35,37
unique,10,10
unit,15,9
unite,6,7
united,41,195
uniting,2,2
unity,21,9
universal,24,4
university,9,4
unjust,10,1
unjustly,3,1
unknown,20,4
unless,62,11
unlike,1,5
unlimited,6,2
unmistakable,2,2
unrelenting,2,1
unrestricted,2,1
unseen,1,1
unshakable,4,1
unspeakable,3,1
unstable,5,3
unsuccessful,4,1
unthinkable,2,1
untold,3,1
unwanted,1,1
unwavering,1,2
unwilling,2,1
unworthy,10,1
uphold,7,7
upholding,2,2
upholds,1,5
upon,202,17
uprising,1,4
uprooted,1,1
upwards,7,1
urban,3,3
urge,16,16
urged,8,4
urgency,1,1
urgent,6,14
urgently,1,1
us,9,6
usa,3,6
use,98,51
used,81,39
using,9,17
usually,16,3
utility,7,1
utmost,5,1
utter,9,1
vague,15,1
vain,24,1
valley,1,3
valuable,23,1
value,86,59
valued,3,2
vanish,1,1
vanished,2,1
varied,4,1
variety,3,3
various,103,1
vast,25,9
vehicle,3,4
venture,1,1
verge,3,1
veteran,2,6
vial,1,1
vice,12,15
vicious,1,2
victim,43,13
victimized,1,1
victory,79,41
view,153,16
viewed,1,1
viewpoint,1,1
vigorous,10,3
vigorously,2,1
village,11,3
villager,1,1
violated,2,5
violation,4,6
violence,12,54
violent,13,12
violently,5,1
virtue,35,1
virus,2,4
visible,16,4
vision,8,17
visionary,9,1
visit,6,6
visited,2,3
visiting,2,1
visitor,1,1
vital,42,29
vitality,8,3
voice,18,12
volume,18,3
voluntarily,9,2
voluntary,10,2
volunteer,22,11
volunteered,1,2
vote,20,29
voted,9,11
voter,2,3
voting,6,2
wage,26,6
waged,15,2
waging,11,1
wait,9,7
waited,5,2
waiting,8,3
walk,7,10
walking,3,2
wall,13,9
want,49,123
wanted,15,7
wanting,5,1
war,290,166
warfare,10,2
warm,2,8
warned,2,2
warning,14,7
warrant,2,1
warranty,1,1
waste,5,3
wasted,3,1
wasting,1,1
watch,8,14
watched,4,6
watching,4,4
water,8,18
wave,9,3
way,365,149
weak,45,9
weaken,6,1
weakened,3,1
weakening,8,2
weaker,15,2
weakest,2,2
weakness,38,3
wealth,9,9
weapon,87,123
wear,5,6
wearing,5,3
weary,1,1
wednesday,5,2
week,47,23
weighed,5,1
welcome,8,31
welcomed,12,4
welfare,21,6
well,107,105
welldefined,2,1
welltrained,1,1
went,48,11
west,5,23
western,20,5
whatever,28,12
wheel,2,1
whenever,21,4
wherever,13,9
whether,85,19
whip,1,1
white,26,19
whole,244,22
whose,151,17
wicked,1,1
wickedness,1,1
wide,4,1
widely,3,1
wider,7,3
widespread,2,3
wife,11,10
will,2,1
willing,25,22
willingly,4,1
willingness,4,5
win,36,20
wind,4,4
window,1,1
winning,18,6
winter,12,2
wisdom,26,7
wise,15,6
wisely,3,7
wisest,2,2
wish,63,22
withdraw,3,1
withdrawn,1,1
withhold,1,1
within,143,30
without,183,59
witness,12,9
witnessed,8,7
woman,25,128
wonder,2,1
wonderful,10,3
wont,1,8
wood,2,2
word,116,46
work,260,236
worked,10,32
worker,79,109
working,42,83
world,354,345
worried,1,2
worry,5,12
worrying,1,1
worse,30,7
worship,5,2
worst,31,8
worth,42,13
worthwhile,1,1
worthy,17,5
would,960,183
wound,7,3
wounded,3,7
write,9,5
writer,19,1
writing,11,2
written,19,6
wrong,39,18
wrote,3,8
x,2,1
year,302,287
yearn,4,1
yell,3,1
yes,1,18
yesterday,3,5
yet,122,120
yield,4,6
young,131,36
younger,11,8
youngest,1,3
youth,53,4
zeal,3,1
zone,2,6
—and,2,1
