Autor_in	Lebensdaten
Peter Friedrich Ludwig Strackerjan	(1825–1881)
Willibald Kobolt	(1676–1749)
Christian Friedrich Daniel Schubart	(1739–1791)
Gustav Falke	(1853–1916)
Johann Wilhelm Ludwig Gleim	(1719–1803)
Heinrich Zschokke	(1771–1848)
Adolf Friedrich von Schack	(1815–1894)
Johann Georg Scheffner	(1736–1820)
Johann Jacob Bodmer	(1698–1783)
Julius von Voß	(1768–1832)
Michael Georg Conrad	(1846–1927)
Heinrich Anselm von Ziegler und Kliphausen	(1663–1697)
Heinrich von Kleist	(1777–1811)
Christian Weise	(1642–1708)
Georg Schambach	(1811–1879) (1812–1890)
Herrmann Goedsche	(1815/1816–1878)
Johannes Schlaf	(1862–1941)
Peter Rosegger	(1843–1918)
François Rabelais	(1494–1553)
Willibald Alexis	(1798–1871)
Bruno Ertler	(1889–1927)
Johann Friedrich Kind	(1768–1843)
Gottlieb Siegmund Corvinus	(1677–1747)
Friedrich Spee	(1591–1635)
Johanna Schopenhauer, geb. Trosiener	(1766–1838)
Johann Christian Hallmann	(um 1640–1704/1716)
Karl (Friedrich Adolf Konrad) Bartsch	(1832–1888)
Karl Friedrich Hensler	(1759–1825)
Hedwig Dohm	(1831–1919)
Margarete von Navarra	(1492–1549)
Max von Schenkendorf	(1783–1817)
Robert Reinick	(1805–1852)
Karl Henckell	(1864–1929)
Johann Heinrich Lehnert	(1792–1848)
Carl Haffner	(1804–1876)
Stephan von Breuning	(1774–1827)
Leopold von Sacher-Masoch	(1836–1895)
Franz von Dingelstedt	(1814–1881)
Alfred Lord Tennyson	(1809–1892)
Karl Emil Franzos	(1848–1904)
Josef Viktor Widmann	(1842–1911)
Charles Baudelaire	(1821–1867)
August Johan Strindberg	(1849–1912)
Paul Boldt	(1885–1921)
Alexander Bessmertny	(1888–1943)
Pamphilus Gengenbach	(um 1480 – 1524)
Eduard von Keyserling	(1855–1918)
Johann Jakob Breitinger	(1701–1776)
Johann Joseph von Görres	(1776–1848)
Ferdinand Lassalle	(1825–1864)
Denis Diderot	(1713–1784)
Marianne Ehrmann	(1755–1795)
Gaius Petronius Arbiter	(? – 66 n. Chr.)
Johann Wolfgang Goethe	(1749–1832)
Gorch Fock	(1880–1916)
Friedrich Hildebrand von Einsiedel	(1750–1828)
Miguel de Cervantes Saavedra	(1547–1616)
Thomas Brunner	(um 1535–1571)
Paul Weidmann	(1748–1801)
Michael Beer	(1800–1833)
Wilhelm August Wohlbrück	(1796–1848)
Johann Lauremberg	(1590–1658)
Scheik Nefzaui	(16. Jhdt.)
Hans Christian Andersen	(1805–1875)
Ernst Stadler	(1883–1914)
Johann Gustav Gottlieb Büsching	(1783–1829)
Erich Mühsam	(1878–1934)
Friedrich von Logau	(1605–1655)
Gottfried Keller	(1819–1890)
Paul Fleming	(1609–1640)
Alexander Seitz	(um 1470 – um 1545)
Ludwig Uhland	(1787–1862)
Hermann Bahr	(1863–1934)
Otto Roquette	(1824–1896)
Jens Peter Jacobsen	(1847–1885)
Honoré de Balzac	(1799–1854)
Friedrich Gundolf	(1880–1931)
Klaus Groth	(1819–1899)
Giacomo Leopardi	(1798–1837)
Carl Hauptmann	(1858–1921)
Theokrit	(um 310 v. Chr. – 250 v. Chr.)
Philipp von Zesen	(1619–1689)
Robert Alexander Schumann	(1810–1856)
Hedwig Lachmann	(1865–1918)
Peter Hille	(1854–1904)
Johann Carl Christoph Nachtigal(l)	(1753–1819)
Sidonia Hedwig Zäunemann	(1714–1740)
Joris-Karl Huysmans	(1848–1907)
Alessandro Manzoni	(1785–1873)
Josef Kupelwieser	(1791–1866)
Otto Julius Bierbaum	(1865–1910)
Hermann Sudermann	(1857–1928)
Johann Karl Wezel	(1747–1819)
Henryk Sienkiewicz	(1846–1916)
Apuleius	(um 124 – um 180)
Celander	(1675–1711)
Friedrich Maximilian Klinger	(1752–1831)
Ludwig Christoph Heinrich Hölty	(1748–1776)
Geoffrey Chaucer	(1340?–1400)
Christian August Fischer	(1771–1829)
William Makepeace Thackeray	(1811–1863)
Theodor Mundt	(1808–1861)
Peter Lauremberg	(1585–1639)
Abraham Gotthelf Kästner	(1719–1800)
Michel Eyquem Seigneur de Montaigne	(1533–1592)
Anton Birlinger	(1834–1891)
Friedrich Gerstäcker	(1816–1872)
Balduin Möllhausen	(1825–1905)
Angelus Silesius	(1624–1677)
Joseph Ferdinand von Sonnleithner	(1766–1835)
Titus Maccius Plautus	(um 250–184 v. Chr.)
Karl Bleibtreu	(1859–1928)
Georg Rodolf Weckherlin	(1584–1653)
Friedrich Leopold Graf zu Stolberg	(1750–1819)
Hermann Gustav Goetz	(1840–1876)
Fritz Stavenhagen	(1876–1906)
Ludwig Anzengruber	(1839–1889)
Bettina von Arnim	(1785–1859)
Pietro Metastasio	(1698–1782)
Martin Opitz	(1597–1639)
Niklaus Manuel	(um 1484–1530)
Martin Luther	(1483–1546)
Johann Anton Leisewitz	(1752–1806)
Jean Baptiste Racine	(1639–1699)
Charlotte von Ahlefeld	(1781–1849)
Johann Eberlin von Günzburg	(1470–1533)
August Klingemann	(1777–1831)
Johann Klaj	(um 1616–1656)
Emil Rosenow	(1871–1904)
Octave Mirbeau	(1850–1917)
Hans Jakob Christoffel von Grimmelshausen	(1621–1676)
Hans von Chlumberg	(1897–1930)
Arno Holz	(1863–1929)
Jean Nicolas de Parivall	(1605–1669)
Johann Gaudenz von Salis-Seewis	(1762–1834)
Adelbert von Chamisso	(1781–1838)
Maria Janitschek	(1859–1927)
Ludwig Tieck	(1773–1853)
Aischylos	(525–456 v. Chr.)
Eduard Mörike	(1804–1875)
Johann Michael Moscherosch	(1601–1669)
Johann Leopold von Auenbrugger	1722–1809
Donatien-Alphonse-François,	(1740–1814)
Homer	(8. Jh. v. Chr. – 8. Jh. v. Chr. ?)
